,Sentences,Label,fr_sentences
282,"Yes, we get it. You're pretty. Tone down the self promo and just cook!",1,"Oui, on comprend, tu es jolie, tu fais ton auto promo et tu cuisines !"
283,They starting to act and look like a couple of B grade hookers to me,1,Ils commencent à agir et ressemblent à quelques prostituées de grade B pour moi.
284,Classy and elegant is one way of putting it.,0,Classique et élégant est une façon de le dire.
285,Sorry but Jessie is being a real cunt. You're not all that.,1,Désolé mais Jessie est un vrai con.
286,Katie's a fatty!,1,Katie est grosse !
287,He saved them cause he wants to bang them,1,Il les a sauvés parce qu'il veut les frapper.
288,"Do you get it, you Blondes",1,"Vous avez compris, Blondes."
289,"ah girls, you are dumb if you really believe you have pretty faces.",1,"Les filles, vous êtes stupides si vous croyez vraiment que vous avez de jolis visages."
290,Just want to slap the stupid out of these bimbos!,1,Je veux juste gifler les idiots de ces bimbos !
291,Colin was pretty nice to the girls. Do you think he's giving them the dick?,1,"Colin était gentil avec les filles, tu crois qu'il leur donne la bite ?"
292,"I don't know what's bigger, her forehead or her ass?",1,"Je ne sais pas ce qui est plus gros, son front ou son cul ?"
293,Hate these blonde bitches already,1,Je déteste déjà ces salopes blondes.
294,Really bitch really? Get on the runway and back in the kitchen,1,Allez sur la piste et retournez dans la cuisine.
295,WHAT A DUMB BITCH,1,QU'EST-CE QU'UN BITCH DUMB
296,"Put a bra on Nikki, you dumb slut",1,"Mets un soutien-gorge sur Nikki, salope idiote"
297,These girls need to go. Their vanity is making me ill. Very unattractive,1,Ces filles ont besoin d'y aller. Leur vanité me rend malade.
298,I wonder which of the blonde molls screwed the manager to get that job? Probably both,1,Je me demande lequel des blondes a baisé le manager pour avoir ce boulot ?
299,Sassy - halfway between slut and classy,1,Sassy - à mi-chemin entre salope et classe
300,These girls really put the ASS in sass,1,Ces filles ont vraiment mis l'ASS dans le cul
301,suck on that whores,1,"C'est nul, les putes."
302,"How do you sleep at night, Cathy? You. Cunt.",1,"Comment dormez-vous la nuit, Cathy ?"
303,"She may be a bitch but let's be honest, the blondes weren't too far behind",1,"Elle est peut-être une salope, mais soyons honnêtes, les blondes n'étaient pas trop loin derrière."
304,Seriously Nikki. Keep your arms down to hide the bingo wings and back flab.,1,"Nikki, gardez les bras baissés pour cacher les ailes de bingo et le dos."
305,Stop smirking you vile bitch,1,"Arrête de te faire chier, salope."
306,cough slut cough,1,toux salope toux
307,"LOVE Debra and Eva, and Sheri and Emilie! Such beautiful souls. Will Sheri and Eva ever kiss?",1,"AIMEZ Debra et Eva, et Sheri et Emilie! Telles belles âmes. Est-ce que Sheri et Eva s'embrasseront?"
308,Sheri if you don't swallow that fine but Ill drink lots pineapple juice,1,Sheri si tu n'avales pas si bien mais il boira beaucoup de jus d'ananas
309,"Go fuck yourself  Maddy, stupid slut",1,"Va te faire foutre Maddy, stupide salope"
310,"I swear to fuckin god Tianna and Andre are the worst ever contestants, she is such a little bitch",1,"Je jure que Tianna et Andre sont les pires compétiteurs, c'est une petite salope."
311,Jeans were a bit tight tonight Danielle?,1,Jeans était un peu serré ce soir Danielle ?
312,"She calls it strategic, I call it being a bitch!",1,"Elle appelle ça stratégique, j'appelle ça être une salope !"
313,The blondes will get through cause they are young and can suck,1,Les blondes s'en sortiront parce qu'elles sont jeunes et peuvent sucer
314,She looks like medusa plus that ugly personality to top it off,1,Elle ressemble à medusa plus cette vilaine personnalité pour la couronner
315,"This bitch has no right to talk about fair and has no right to celebrate, I hope that they crash and burn they don't deserve to be here",1,"Cette salope n'a pas le droit de parler d'équité et n'a pas le droit de célébrer, j'espère qu'ils s'écrasent et brûlent qu'ils ne méritent pas d'être ici."
316,she should be practising on her cooking skills,1,elle devrait s'entraîner sur ses compétences culinaires
317,Why does she have to be such a cunt?,1,Pourquoi est-ce qu'elle doit être aussi con ?
318,Seriously. Crazy eyes is staying?,1,"Sérieusement, les yeux fous restent ?"
319,"She is actually a bitch, but I had to laugh at her response.",1,"En fait, c'est une salope, mais j'ai dû rire de sa réponse."
320,Helena is such an awful bitch!,1,Helena est une sacrée salope !
321,She's the Wicked Witch from the West,1,C'est la Sorcière de l'Ouest.
322,I'm going to miss her resting bitch face.,1,Son visage de chienne de repos va me manquer.
323,Kate you stupid woman!,1,"Kate, espèce de stupide femme !"
324,Yet another student settles with university over an unfair process resulting from campus sexual assault hearings,0,Un autre étudiant s'installe à l'université pour un processus injuste résultant d'audiences d'agression sexuelle sur le campus
325,You make many baseless assumptions and decide they are facts.,0,Vous faites beaucoup d'hypothèses sans fondement et décidez qu'elles sont des faits.
326,Must suck not being able to reach your own potential in life. Must be because you're a woman,1,"Ça doit être nul de ne pas pouvoir atteindre ton propre potentiel dans la vie, parce que tu es une femme."
327,Why do we stand aside when a vocal minority screams we have more rights than women?,0,Pourquoi sommes-nous à l'écart lorsqu'une minorité vocale crie que nous avons plus de droits que les femmes?
328,Do you realize how powerful feminism really is?,0,Tu te rends compte à quel point le féminisme est puissant ?
329,"Have you ever taken six weeks off from work, casually decide if you want to go back and then choose to work part time?",0,"Avez-vous déjà pris six semaines de congé du travail, décidez-vous occasionnellement si vous voulez revenir et ensuite choisir de travailler à temps partiel?"
330,Thanks. I appreciate that.,0,"Merci, j'apprécie."
331,"Why was she fired, do you know?",0,Pourquoi a-t-elle été virée ?
332,Can you give an example?,0,Pouvez-vous donner un exemple ?
333,There is literally photo evidence above,0,Il y a littéralement des preuves de photo ci-dessus
334,Why are you body shaming her for having Man Hands?,0,Pourquoi vous la hantez pour avoir Man Hands ?
335,Who would that be?,0,Qui serait-ce ?
336, This is the tag's founder...,0,C'est le fondateur du tag...
337,Can she explain why this is wrong?,0,Peut-elle expliquer pourquoi c'est mal ?
338,I'm looking for them. There is a lot of hay on top of those needles.,0,"Je les cherche, il y a beaucoup de foin sur ces aiguilles."
339,She said that in what way?,0,Elle a dit ça de quelle façon ?
340,I didn't realize I was supposed to treat you as a child whose opinion is irrelevant. Sorry. My bad.,1,Je n'avais pas réalisé que je devais te traiter comme un enfant dont l'opinion n'était pas pertinente.
341,I'll take any screen grabs you have. Thanks.,0,Je prendrai n'importe quel écran que vous avez.
342,"Well, I'd have no way of knowing so that's a bad point.",0,"Je n'aurais aucun moyen de le savoir, donc c'est un mauvais point."
343,That was in reply to her.,0,C'était en réponse à elle.
344,She's great.,0,Elle est géniale.
345,So that is the root cause of their hypocrisy. You have swung me.,0,C'est la cause profonde de leur hypocrisie.
346,Can you explain why what she described there is wrong?,0,Pouvez-vous expliquer pourquoi ce qu'elle a décrit est faux ?
347,I meant this one. Can you explain why it's wrong?,0,Tu peux expliquer pourquoi c'est mal ?
348,I have no idea what she said.,0,Je n'ai aucune idée de ce qu'elle a dit.
349,"So, you will continue to oppose equality no matter the logic?",0,"Donc, vous continuerez à vous opposer à l'égalité, quelle que soit la logique ?"
350,I like a multimedia approach.,0,J'aime une approche multimédia.
351,"did you know that when you look at a girl, you rape her?",1,"Tu savais que quand tu regardes une fille, tu la violes ?"
352,Pretzel logic is understatement.  Her logic is like a pretzel being beaten and tossed off the Sears Tower. Puddle logic...,0,La logique de Pretzel est sous-estimée. Sa logique est comme un bretzel étant battu et jeté hors de la tour Sears. La logique de puddle...
353,Well I'd bet on the latter.,0,Je parie sur ce dernier.
354,"So, no issue with her doing the very thing she decries, then?",0,"Donc, pas de problème avec elle de faire ce qu'elle décrie, alors ?"
355,"I realized then that selfish hypocrisy is the crux of modern feminism, not equality.",1,"J'ai alors réalisé que l'hypocrisie égoïste est le cœur du féminisme moderne, et non l'égalité."
356,I know little more than I just told you. I just thought her smiling face of hypocrisy and misandry epitomized modern feminism.,1,Je n'en sais pas plus que ce que je viens de vous dire. Je pensais que son visage souriant d'hypocrisie et de misandry incarne le féminisme moderne.
357,I'm blocked.,0,Je suis bloqué.
358,So says an unthinking pussy. Yawn.,1,C'est ce que dit une chatte impensable.
359,Exactly. It's a sexist marketing ploy.,0,"Exactement, c'est un stratagème de marketing sexiste."
360,Define forcing.,0,Définissez le forçage.
361,"Don't know her, sorry.",0,"Je ne la connais pas, désolé."
362,"Nope, I'm going to have to disagree with him.",0,"Non, je vais devoir être en désaccord avec lui."
363,"That is a genuinely interesting question. of course, the answer is predictable and boring.",0,"C'est une question vraiment intéressante. Bien sûr, la réponse est prévisible et ennuyeuse."
364,I saw this the other day. Excellent.,0,J'ai vu ça l'autre jour.
365,To an exten we are not exactly overwhelmed with great options,0,Pour une exten nous ne sommes pas vraiment submergés par de grandes options
366,"You appear to have common sense. So, no, you'd be totally wrong.",0,Tu as l'air d'avoir le bon sens.
367,So is the answer nothing?,0,Donc la réponse n'est rien ?
368,None of these things are true. But I return to the original question and research. What have you read?,0,"Rien de tout cela n'est vrai, mais je reviens à la question originale et à la recherche."
369,No one said she should.,0,Personne n'a dit qu'elle devrait.
370,Can you explain why that would be sexist?,0,Pouvez-vous expliquer pourquoi ce serait sexiste ?
371,"No. Actually, she has an economics degree.",0,"En fait, elle a un diplôme en économie."
372,"You couldn't design a much poorer set of incentives, no.",0,"Vous ne pouviez pas concevoir un ensemble d'incitations beaucoup plus pauvres, non."
373,I'm saying you can never control two different individuals to be the same.,0,Je dis que vous ne pouvez jamais contrôler deux personnes différentes pour être les mêmes.
374,i hate when u open the door for a hot chick and then her ugly friend wants u to keep it open for her. bitch open it yourself,1,Je déteste quand tu ouvres la porte à une nana sexy et que sa vilaine amie veut que tu la laisses ouverte pour elle. salope l'ouvre toi-même
375,"Nothing. I like women in pink. It's a tipoff that they don't angrily reject femininity like, well, you know.",1,"Rien, j'aime les femmes en rose, c'est un pourboire qu'elles ne rejettent pas la féminité comme, tu sais."
376,I have a million valid arguments. That doesn't change reality.,0,"J'ai un million d'arguments valables, ça ne change rien à la réalité."
377,Gotta take the bad with the good.,0,Il faut prendre le mauvais avec le bon.
378,I'll be honest. I've never heard that before.,0,Je ne l'ai jamais entendu.
379,"Sorry to hear that. Get well, man.",0,Désolé d'entendre ça.
380,Thanks for heads up. I watched it. Good stuff.,0,"Merci de m'avoir prévenu, je l'ai regardé."
381,"Nope. Hence, the two DIFFERENT terms.",0,"Non, donc, les deux termes DIFFÉRENTS."
382,Who is to blame for that?,0,Qui en est responsable ?
383,"Excuse me, who is arguing that?",0,"Excusez-moi, qui se dispute ?"
384,there is no beef here.,0,Il n'y a pas de bœuf ici.
385,Just saw her work from a few days ago. It's brilliant. We need fifty more like it.,0,"J'ai vu son travail il y a quelques jours, c'est génial, il nous en faut 50 de plus."
386,The motive doesn't lessen the outcome.,0,Le mobile ne diminue pas le résultat.
387,Then I have no idea.,0,Alors je n'en ai aucune idée.
388,"You could think of the worst possible idea ever, and it's still wouldn't be as bad as this one.",0,"Tu pourrais penser à la pire idée possible, et ce ne serait pas aussi mal que celle-ci."
389,She was already linked. She doesn't care.,0,"Elle était déjà liée, elle s'en fiche."
390,It seems that she doesn't care about facts.,0,Il semble qu'elle ne se soucie pas des faits.
391,That girl is hideous in every way.,1,Cette fille est hideuse dans tous les sens.
392,"I appreciate you bringing good content to me, though.",0,Mais j'apprécie que tu m'apportes du bon contenu.
393,Was your previous praise tactical or just misplaced?,0,Votre précédent éloge était-il tactique ou simplement déplacé ?
394,Is the fact that women are asked that question sexist?,0,Le fait que les femmes soient posées à cette question est-il sexiste?
395,"If you don't negotiate good salary going in, it's difficult to make that up later.",0,"Si vous ne négociez pas un bon salaire, il est difficile de le rattraper plus tard."
396,And that proves what?,0,Et ça prouve quoi ?
397,This is disgusting.,0,C'est dégoûtant.
398,good luck to you with that.,0,Bonne chance avec ça.
399,The mine is no place for a woman to work. Call me sexist but a woman as a rock driller is not practical.,1,"La mine n'est pas un lieu de travail pour une femme. Appelez-moi sexiste, mais une femme comme foreuse de roche n'est pas pratique."
400,"I'm sorry. But I don't see what's hot about girls who eat like guys. Call me sexist, but i like girls because they're girls.",1,"Je suis désolé, mais je ne vois pas ce qu'il y a de chaud chez les filles qui mangent comme des mecs, mais j'aime les filles parce que ce sont des filles."
401,Feminism is a respectable ideal. Searching for problems is not.,0,Le féminisme est un idéal respectable. La recherche de problèmes n'est pas.
402,"Call me sexist, but I hate female receptionists. They always give me attitude like I'm the reason their boyfriend broke up with them",1,"Je suis sexiste, mais je déteste les réceptionnistes, elles me donnent toujours l'attitude comme si c'était la raison pour laquelle leur petit ami avait rompu avec eux."
403,Seriously if you're female you need to be able to cook. it's in your DNA,1,"Sérieusement, si vous êtes une femelle, vous devez être capable de cuisiner. C'est dans votre ADN"
404,I just think Men are better Comedians.,1,Je pense juste que les hommes sont de meilleurs comédiens.
405,The only thing a woman should help a man build is a relationship,1,La seule chose qu'une femme devrait aider un homme à construire est une relation
406,Women should familiarise themselves with the pots. After all a way to a man's heart is through the stomach,1,Les femmes devraient se familiariser avec les pots. Après tout un chemin vers le cœur d'un homme est à travers l'estomac
407,they need to get back in the kitchen if you ask me.,1,Ils doivent retourner dans la cuisine si vous me le demandez.
408,It seems like females never have valid opinions when it comes to sports,1,Il semble que les femmes n'aient jamais d'opinions valables en matière de sport
409,Some girls should not wear any type of tight clothing,1,Certaines filles ne devraient porter aucun type de vêtements serrés
410,I believe women have a tendency to be more impractical than men.,1,Je crois que les femmes ont tendance à être plus impraticables que les hommes.
411,The only women I can take serious when they're angry are my mom and grandma,1,Les seules femmes que je peux prendre au sérieux quand elles sont en colère sont ma mère et ma grand-mère
412,There is no chance in hell I'm letting a girl beat me at anything. Sorry,1,Il n'y a aucune chance que je laisse une fille me battre à n'importe quoi.
413,Never ever take directions from a woman!,1,Ne jamais prendre les directions d'une femme!
414,"The people at work are childish. it's run by women and when women dont agree to something, oh man.",1,"Les gens au travail sont enfantins. Il est dirigé par des femmes et quand les femmes n'acceptent pas quelque chose, oh mec."
415,I'd be scared to have a woman running the country. women are too nice.,1,J'aurais peur d'avoir une femme qui dirige le pays. Les femmes sont trop gentilles.
416,There is a double standards there's certain rules for dudes and there's certain rules for females,1,"Il y a deux poids deux mesures, il y a certaines règles pour les mecs et certaines règles pour les femmes."
417,"It was the best of times, it was the worst of times. But she had amazing tits, I gotta say.",1,"C'était le meilleur des temps, c'était le pire des temps, mais elle avait des seins incroyables, je dois dire."
418,"The best part of a woman's body is their hands, simply because they can make sandwiches and clean shit with them",1,"La meilleure partie du corps d'une femme est ses mains, simplement parce qu'ils peuvent faire des sandwichs et nettoyer la merde avec eux"
419,"I must admit the ""Women belong in the kitchen"" jokes were worth a chuckle.",1,"Je dois admettre que les blagues ""Les femmes font partie de la cuisine"" valent le coup."
420,women talk three times more than men,1,Les femmes parlent trois fois plus que les hommes
421,I'll probably get in trouble for this but women weren't designed or created to be alone,1,"Je vais probablement avoir des ennuis pour ça, mais les femmes n'ont pas été conçues ou créées pour être seules."
422,Don't treat women like an object.,0,Ne traite pas les femmes comme un objet.
423,I hope no single broad tries to swerve me but a woman's ultimate position is to be by a man,1,"J'espère qu'aucune femme n'essaie de m'ébranler, mais la position ultime d'une femme est d'être par un homme."
424,EVERY girl is crazy no exceptions.,1,CHAQUE fille n'est pas une exception.
425,"Only females recognise the ""final spin"" on a washing machine full of clothes",1,Seules les femmes reconnaissent le « dernier tour » sur une machine à laver pleine de vêtements
426,I do not like female engineering teachers,1,Je n'aime pas les enseignantes en génie
427,I can't work with 5 female managers at the same time anymore,1,Je ne peux plus travailler avec 5 femmes managers en même temps.
428,"Rape culture is not about having sense of humor. It is about silencing, shaming, and terrifying women.",0,"La culture du viol n'est pas d'avoir le sens de l'humour, c'est de tuer, de harceler et de terrifier les femmes."
429,I can not stand women commentators,1,Je ne supporte pas les femmes commentatrices
430,I'm getting a little tired of female announcers.,1,J'en ai assez des annonceuses.
431,I just feel men and women have their appropriate roles in life,1,Je sens juste que les hommes et les femmes ont leurs rôles appropriés dans la vie
432,A lot of females lack true logic sometimes. A lot of guys are just dumb though.,1,Beaucoup de femmes manquent parfois de vraie logique.
433,"The true definition of a goddess is a good housewife and mother who also has good health, looks and physique",1,"La véritable définition d'une déesse est une bonne femme au foyer et mère qui a aussi une bonne santé, un look et un physique"
434,Men's skill sets and abilities are just leagues above the women's.,1,Les compétences et les capacités des hommes ne sont que des ligues au-dessus de celles des femmes.
435,Chicks just aren't that funny.,1,Les filles ne sont pas si drôles.
436,Most girls don't know how to form their own opinions.,1,La plupart des filles ne savent pas comment se former leurs propres opinions.
437,I don't think America is ready for a female president.,1,Je ne pense pas que l'Amérique soit prête pour une femme présidente.
438,"As far as I'm concerned, girls who argue are stupid.",1,"En ce qui me concerne, les filles qui se disputent sont stupides."
439,Girls just shouldn't curse.,1,Les filles ne devraient pas maudire.
440,"Whatever, but most of the girls I've met aren't cut out for working full time.",1,"Peu importe, mais la plupart des filles que j'ai rencontrées ne sont pas faites pour travailler à plein temps."
441,I'll never vote for a woman president because I don't think any woman is mentally stable enough.,1,Je ne voterai jamais pour une femme présidente parce que je ne pense pas qu'une femme soit suffisamment stable mentalement.
442,We all get bored of women. They stop making sense after sometime. Especially the talking part.,1,"On s'ennuie tous avec les femmes, elles cessent de faire sens après un moment, surtout la partie qui parle."
443,I can't stand working in an office with women who gossip the entire time,1,Je ne supporte pas de travailler dans un bureau avec des femmes qui bavardent tout le temps.
444,Maybe so. But I'm still right.,0,"Peut-être, mais j'ai toujours raison."
445,I need a girl that'll iron my shirts and not call me sexist,1,J'ai besoin d'une fille qui repassera mes chemises et ne m'appellera pas sexiste.
446,Men are far more civilised during these debates than women.,1,Les hommes sont beaucoup plus civilisés au cours de ces débats que les femmes.
447,"Almost purely because men can raise their voices, women just end up screaming.",1,"Presque uniquement parce que les hommes peuvent élever leur voix, les femmes finissent par crier."
448,Men have a discussion. Women argue.,1,"Les hommes discutent, les femmes se disputent."
449,I don't think men and women are equal.,1,Je ne pense pas que les hommes et les femmes soient égaux.
450,Guy teachers are by far better than teachers that are girls,1,Les profs Guy sont de loin meilleurs que les profs qui sont des filles.
451,"Back then, Men were in charge and women were obligated to them. Today, women are just as equal and even better.",0,"À l'époque, les hommes étaient responsables et les femmes étaient obligées à leur égard. Aujourd'hui, les femmes sont tout aussi égales et même meilleures."
452,Some things shouldn't be said by females,1,Certaines choses ne devraient pas être dites par les femmes
453,She doesn't care what you think.,0,Elle se fiche de ce que tu penses.
454,This girl across from me has a jungle on each leg. Please shave.,1,Cette fille en face de moi a une jungle sur chaque jambe.
455,I do believe that women are inferior to men.,1,Je crois que les femmes sont inférieures aux hommes.
456,"If women ruled the world, there would be no war at all. Just a bunch of countries that wouldn't talk to each other!",1,"Si les femmes gouvernaient le monde, il n'y aurait pas de guerre du tout."
457,You don't understand my intent,0,Vous ne comprenez pas mon intention
458,How are girls so bad at math when they know so much about hair volume and the volume of their mascara,1,Comment sont les filles si mauvais en maths quand ils savent tant sur le volume des cheveux et le volume de leur mascara
459,Typical woman sticking her nose where she shouldn't,1,Typique femme se collant le nez où elle ne devrait pas
460,"A chick shouldn't be able to say ""I'm on my period i don't feel good"" and not have to work.",1,"Une fille ne devrait pas être capable de dire ""Je suis sur mes règles je ne me sens pas bien"" et ne pas avoir à travailler."
461,Feminists annoy the shit out of me,1,Les féministes m'énervent.
462,I dont like dealing with women when there is business to do. They are too emotional,1,Je n'aime pas traiter avec les femmes quand il y a des affaires à faire.
463,Guys are better than women in everything. It's not sexist but it's just because we are competitive as hell,1,Les mecs sont meilleurs que les femmes en tout. Ce n'est pas sexiste mais c'est juste parce que nous sommes compétitifs en enfer
464,Again and again I am reminded harshly that having a women boss truly sucks,1,Encore et encore on me rappelle brutalement qu'avoir une patronne vraiment suce
465,I'm not sexist but on my life theres a gene in women that blocks their rationality.,1,Je ne suis pas sexiste mais sur ma vie il y a un gène chez les femmes qui bloque leur rationalité.
466,It's of note when a woman surprises me with her competence.,1,C'est important quand une femme me surprend de sa compétence.
467,everyone and their mothers must stop acting like men,1,tout le monde et leurs mères doivent cesser d'agir comme des hommes
468,The reason liberal women are liberal is because they have to date liberal men,1,La raison pour laquelle les femmes libérales sont libérales est qu'elles ont jusqu'à présent des hommes libéraux
469,"A lot of females try to think like a man to avoid getting hurt/played instead of just being a woman. Take a chance, love again.",1,Beaucoup de femmes essaient de penser comme un homme pour éviter de se blesser/jouer au lieu d'être juste une femme.
470,Insecure feminists created a day without women.,1,Les féministes précaires ont créé une journée sans femmes.
471,What will we do without feminists?! Everything.,1,Que ferons-nous sans féministes?! Tout.
472,Nothing like a fine women with pretty feet in a great pair of shoes!,1,Rien de tel qu'une belle femme avec de jolis pieds dans une belle paire de chaussures !
473,This needs to be changed to A day without Third Wave Feminists. Real women will be working.,1,Cela doit être changé en un jour sans les féministes de la troisième vague. De vraies femmes travailleront.
474,Conservative and intelligent women did not take the day off on A Day Without Women,1,Les femmes conservatrices et intelligentes n'ont pas pris de congé le jour d'une journée sans femmes
475,You've got a strong grip for a girl,1,Tu as une forte prise pour une fille
476,Time to get up and walk like a man,1,Il est temps de se lever et de marcher comme un homme
477,Act like a lady and think like a man.,1,Agissez comme une dame et pensez comme un homme.
478,"You should look like a girl, act like a lady, think like a man and work like a boss.",1,"Tu devrais ressembler à une fille, agir comme une dame, penser comme un homme et travailler comme un patron."
479,"As a man, I would have worded that sentence twice as good",1,"En tant qu'homme, j'aurais dit cette phrase deux fois plus bonne."
480,Women are meant to be loved not to be understood,1,Les femmes sont censées être aimées de ne pas être comprises
481,"I am going to create a restaurant called ""Sandwich world"" and i am only going to hire women.",1,"Je vais créer un restaurant appelé ""monde Sandwich"" et je ne vais embaucher que des femmes."
482,"Act like a lady, think like a man.",1,"Agissez comme une dame, pensez comme un homme."
483,It's impossible for a girl to be faithful,1,C'est impossible pour une fille d'être fidèle
484,Covered girls are better than cover girls ,1,Les filles couvertes sont mieux que les filles couvertes
485,Truly a day without women should be renamed a day without cry baby feminists. No respectable lady with a real life acknowledge it.,1,Vraiment une journée sans femmes devrait être rebaptisée une journée sans bébé féministes cri. Aucune dame respectable avec une vraie vie le reconnaissent.
486,Did u know ABCDEFG means A boy can do everything for a girl. The Reverse GFEDCBA means Girl forget everything done and catches new boy again.,1,Saviez-vous qu'ABCDEFG signifie Un garçon peut tout faire pour une fille. L'inverse GFEDCBA signifie Fille oublier tout fait et attraper nouveau garçon à nouveau.
487,"Sorry, but real women show up for their commitments.",1,"Désolé, mais de vraies femmes se présentent pour leurs engagements."
488,I don't care how hard you think you are if you cant act like a man no one will respect you,1,"Je me fiche que tu penses être dur si tu ne peux pas agir comme un homme, personne ne te respectera."
489,"A lot of females try to think like a man to avoid getting hurt instead of just being a woman. Take a chance, love again.",1,Beaucoup de femmes essaient de penser comme un homme pour éviter de se blesser au lieu d'être juste une femme.
490,"That's your right to of course. I think she promotes hatred towards a good man, a man she will never be as good, or as principled as.",1,"Je pense qu'elle encourage la haine à l'égard d'un homme bon, d'un homme qu'elle ne sera jamais aussi bon, ni aussi principe."
491,"You're not cute, you always look like A MAN which is definitely a positive aspect",1,"Tu n'es pas mignon, tu ressembles toujours à un homme qui est certainement un aspect positif"
492,"If a man marries a good woman, he will have a happy life as long as he himself is not ambitious and is quiet and obedient.",1,"Si un homme épouse une bonne femme, il aura une vie heureuse tant qu'il n'est pas ambitieux et qu'il est calme et obéissant."
493,Nothing can destroy a man's productivity like the love of a woman!,1,Rien ne peut détruire la productivité d'un homme comme l'amour d'une femme !
494,Six foot two inches IS TOO TALL for a girl. Wow.,1,"Six pieds deux pouces, c'est trop dur pour une fille."
495,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job #IWD2017,1,Une bonne femme sait que peu importe qui fait un travail de gestion aussi longtemps que son meilleur homme pour le travail #IWD2017
496,you gotta act like a woman and think like a man,1,Tu dois agir comme une femme et penser comme un homme
497,"When a girl cries for a guy, it means she really misses him. But when a guy cries for a girl, nobody can love that girl more than him.",1,"Quand une fille pleure pour un mec, ça veut dire qu'il lui manque vraiment, mais quand un mec pleure pour une fille, personne ne peut aimer cette fille plus que lui."
498,women are territorial about their kitchens its kinda like a man and his garage,1,"Les femmes sont territoriales dans leurs cuisines, c'est comme un homme et son garage."
499,you're abnormally tall for a girl,1,Tu es anormalement grand pour une fille.
500,stop calling yourselves pretty and hot. you're not and saying it a million times doesn't make you either.,1,Arrête de t'appeler jolie et sexy. Tu ne dis pas ça un million de fois ça ne te fait pas non plus.
501,"They're Not dumb blondes, perhaps they just have delusions of adequacy?",1,"Ce ne sont pas des blondes idiotes, peut-être ont-elles juste des illusions d'adéquation ?"
502,Stop saying dumb blondes with pretty faces as you need a pretty face to pull that off!,1,Arrête de dire des blondes stupides avec de jolis visages que tu as besoin d'un joli visage pour tirer ça !
503,jus going to say it again DUMB BITCH!,1,Jus va le dire encore une fois BITCH DUMB !
504,"wait, that back shot of nikki. she's wearing blue knickers?",1,"Attends, le dos de Nickki, elle porte des culottes bleues ?"
505,"Just me, or are those hot blondes not at all hot? Just average!",1,"Juste moi, ou ces blondes chaudes ne sont pas du tout chaudes ?"
506,Who was responsible for convincing these girls they were so pretty?,1,Qui était responsable de convaincre ces filles qu'elles étaient si jolies ?
507,The girls are going through this is fucked or are they sucking Colin's cock!,1,Les filles passent par là sont baisées ou sucent la bite de Colin !
508,These girls are pretty awful.,1,Ces filles sont plutôt horribles.
509,"if I have to watch five more minutes of these stuck up, idiotic hookers I'll neck myself.",1,"Si je dois regarder cinq minutes de plus de ces putes coincées, idiotes, je me couterai moi-même."
510,Gosh I dislike those two girls. They just aren't hot either.,1,"Je déteste ces deux filles, mais elles ne sont pas sexy non plus."
511,They're staying just so that the producers can have a showdown between them and the posh bitches,1,Ils restent juste pour que les producteurs puissent avoir une confrontation entre eux et les salopes chics
512,"Seeing as you two think this is a modelling competition, I give you two a score of negative ten for your looks.",1,"Vu que vous pensez tous les deux que c'est un concours de modélisation, je vous donne un score de dix pour votre look."
513,Sassy? Girls you aren't sassy. More like bitchy.,1,"Les filles, vous n'êtes pas sales, plutôt salopes."
514,I've finally figured out what she models. camel toes.,1,J'ai enfin trouvé ce qu'elle mannequins. Des orteils de chameau.
515,Question is are they pretty?,1,La question est qu'ils sont jolis ?
516,You've just proved that you are two blondes with fucked up faces!,1,Vous venez de prouver que vous êtes deux blondes avec des visages de merde !
517,the only way these girls are staying is if they blow every bloke in the room. So they're still in with a shot.,1,"La seule façon pour ces filles de rester, c'est qu'elles soufflent tous les mecs dans la pièce."
518,Seven percent of all hearing loss is a result of sitting in a restaurant next to a table full of women who just received dessert.,1,Sept pour cent de toutes les pertes auditives sont le résultat d'une séance dans un restaurant à côté d'une table pleine de femmes qui vient de recevoir le dessert.
519,A word processor is too technical for the skanky hoes,1,Un processeur de texte est trop technique pour les hoes skanky
520,Perhaps if the girls had spent less time looking in and kissing mirrors and more time in preparation for the meeting they'd be better off.,1,"Peut-être que si les filles avaient passé moins de temps à regarder et embrasser des miroirs et plus de temps en préparation de la réunion, ils seraient mieux en dehors."
521,Hope the blonde cows don't make it through!,1,J'espère que les vaches blondes ne s'en sortiront pas !
522,Yeah I can't see her sporting Victoria's Secret wings anytime soon.,1,Je ne vois pas ses ailes secrètes de Victoria bientôt.
523,These two blondes are not skinny enough to be models.,1,Ces deux blondes ne sont pas assez maigres pour être des mannequins.
524,these two take dumb blonde to a a new level,1,Ces deux-là prennent blonde stupide à un nouveau niveau
525,Girls claiming they're hot generally have an overinflated view of themselves,1,Les filles qui disent qu'elles sont chaudes ont généralement une vision surgonflée d'elles-mêmes
526,Annie looks like a mouse,1,Annie ressemble à une souris
527,you're the sort of bitch that really makes the show,1,Tu es le genre de salope qui fait vraiment le show
528,Oh my god the sluts are going to get through,1,"Oh mon dieu, les salopes vont s'en sortir"
529,I think it was Nikki and Katie's modesty that made them so appealing,1,Je pense que c'est la modestie de Nikki et Katie qui les a rendus si attrayants.
530,"So those blonde chicks are gone, yay",1,Alors ces blondes sont parties.
